gender.female,gender.male,age,class.1st,class.2nd,class.3rd,class.deck.crew,class.engineering.crew,class.restaurant.staff,class.victualling.crew,embarked.Belfast,embarked.Cherbourg,embarked.Queenstown,embarked.Southampton,fare,sibsp,parch,survived
0,1,42,0,0,1,0,0,0,0,0,0,0,1,7.11,0,0,0
0,1,13,0,0,1,0,0,0,0,0,0,0,1,20.05,0,2,0
0,1,16,0,0,1,0,0,0,0,0,0,0,1,20.05,1,1,0
1,0,39,0,0,1,0,0,0,0,0,0,0,1,20.05,1,1,1
0,1,30,0,1,0,0,0,0,0,0,1,0,0,24,1,0,0
0,1,27,0,0,1,0,0,0,0,0,1,0,0,18.1509,0,0,1
0,1,27,0,0,1,0,0,0,0,0,0,0,1,8.01,0,0,0
1,0,40,0,0,1,0,0,0,0,0,0,0,1,9.0906,1,0,0
0,1,0.833333333,0,0,1,0,0,0,0,0,0,0,1,9.07,0,1,1
1,0,18,0,0,1,0,0,0,0,0,0,0,1,9.07,0,1,1
0,1,35,0,1,0,0,0,0,0,0,0,0,1,13,0,0,0
0,1,25,0,0,1,0,0,0,0,0,0,0,1,7.1709,0,0,0
0,1,19,0,0,1,0,0,0,0,0,0,0,1,7.1806,0,0,0
0,1,24,0,0,1,0,0,0,0,0,0,0,1,7.01,0,0,0
0,1,25,0,0,1,0,0,0,0,0,0,0,1,7.01,0,0,0
1,0,29,1,0,0,0,0,0,0,0,0,0,1,211.6009,0,0,1
0,1,39,0,0,1,0,0,0,0,0,0,0,1,8.01,0,0,0
0,1,0.916666667,1,0,0,0,0,0,0,0,0,0,1,151.16,1,2,1
1,0,2,1,0,0,0,0,0,0,0,0,0,1,151.16,1,2,0
0,1,30,1,0,0,0,0,0,0,0,0,0,1,151.16,1,2,0
1,0,25,1,0,0,0,0,0,0,0,0,0,1,151.16,1,2,0
0,1,18,0,0,1,0,0,0,0,0,0,0,1,8.06,0,0,0
0,1,19,0,0,1,0,0,0,0,0,1,0,0,7.0407,0,0,0
0,1,33,0,0,1,0,0,0,0,0,0,0,1,22.1006,0,0,0
0,1,47,1,0,0,0,0,0,0,0,0,0,1,26.11,0,0,1
0,1,4,0,0,1,0,0,0,0,0,0,0,1,31.0506,4,2,0
1,0,2,0,0,1,0,0,0,0,0,0,0,1,31.0506,4,2,0
1,0,16,0,0,1,0,0,0,0,0,0,0,1,7.1806,4,2,1
1,0,38,0,0,1,0,0,0,0,0,0,0,1,7.1506,4,2,0
1,0,11,0,0,1,0,0,0,0,0,0,0,1,31.0506,4,2,0
0,1,39,0,0,1,0,0,0,0,0,0,0,1,31.0506,1,5,0
0,1,26,0,0,1,0,0,0,0,0,0,0,1,7.1506,0,0,0
0,1,20,0,0,1,0,0,0,0,0,0,0,1,7.1701,0,0,0
0,1,17,0,1,0,0,0,0,0,0,0,0,1,11.1,0,0,0
0,1,27,0,1,0,0,0,0,0,0,0,0,1,10.1,0,0,0
1,0,62,1,0,0,0,0,0,0,0,1,0,0,77.1902,1,0,1
0,1,26,0,0,1,0,0,0,0,0,0,0,1,7.1711,0,0,0
1,0,36,0,1,0,0,0,0,0,0,0,0,1,26,1,0,1
0,1,31,0,1,0,0,0,0,0,0,0,0,1,26,1,0,0
1,0,53,1,0,0,0,0,0,0,0,0,0,1,51.0907,2,0,1
0,1,25,0,0,1,0,0,0,0,0,0,0,1,7.1506,0,0,0
0,1,57,0,1,0,0,0,0,0,0,0,0,1,13,0,0,0
0,1,35,0,0,1,0,0,0,0,0,0,0,1,7.01,0,0,0
0,1,5,0,0,1,0,0,0,0,0,0,0,1,31.0709,4,2,0
0,1,9,0,0,1,0,0,0,0,0,0,0,1,31.0709,4,2,0
0,1,13,0,0,1,0,0,0,0,0,0,0,1,31.0709,4,2,0
1,0,5,0,0,1,0,0,0,0,0,0,0,1,31.0709,4,2,1
0,1,40,0,0,1,0,0,0,0,0,0,0,1,31.0709,1,5,0
1,0,38,0,0,1,0,0,0,0,0,0,0,1,31.0709,1,5,1
1,0,45,0,0,1,0,0,0,0,0,1,0,0,7.0406,0,0,1
0,1,23,0,0,1,0,0,0,0,0,0,0,1,7.01,0,0,0
1,0,18,1,0,0,0,0,0,0,0,1,0,0,247.1006,1,0,1
0,1,27,0,0,1,0,0,0,0,0,1,0,0,7.0406,0,0,0
0,1,23,0,0,1,0,0,0,0,0,0,0,1,7.1701,0,0,0
1,0,15,0,0,1,0,0,0,0,0,1,0,0,7.0407,0,0,1
0,1,32,0,0,1,0,0,0,0,0,0,0,1,15.17,1,0,0
1,0,3,0,0,1,0,0,0,0,0,1,0,0,19.0502,2,1,1
1,0,0.75,0,0,1,0,0,0,0,0,1,0,0,19.0502,2,1,1
1,0,5,0,0,1,0,0,0,0,0,1,0,0,19.0502,2,1,1
1,0,18,0,0,1,0,0,0,0,0,0,0,1,8.01,0,0,1
0,1,40,0,0,1,0,0,0,0,0,1,0,0,7.0406,0,0,0
0,1,22,0,1,0,0,0,0,0,0,0,0,1,10.1,0,0,0
0,1,26,0,0,1,0,0,0,0,0,0,0,1,7.1711,0,0,0
1,0,36,0,1,0,0,0,0,0,0,0,0,1,13,0,0,1
1,0,45,0,0,1,0,0,0,0,0,1,0,0,14.0901,0,1,0
0,1,47,1,0,0,0,0,0,0,0,0,0,1,30,0,0,1
1,0,33,0,0,1,0,0,0,0,0,0,1,0,7.1707,0,0,0
0,1,22,0,0,1,0,0,0,0,0,0,0,1,8.01,0,0,0
0,1,23,0,0,1,0,0,0,0,0,0,0,1,7.1711,0,0,0
0,1,60,1,0,0,0,0,0,0,0,1,0,0,25.1806,0,0,0
0,1,24,1,0,0,0,0,0,0,0,1,0,0,247.1005,0,1,0
1,0,50,1,0,0,0,0,0,0,0,1,0,0,247.1005,0,1,1
0,1,32,0,1,0,0,0,0,0,0,0,0,1,26,1,0,1
1,0,22,0,1,0,0,0,0,0,0,0,0,1,26,1,0,1
0,1,36,1,0,0,0,0,0,0,0,0,0,1,75.041,0,0,0
0,1,44,0,1,0,0,0,0,0,0,0,0,1,26,0,0,0
0,1,20,0,0,1,0,0,0,0,0,0,0,1,8.01,0,0,0
1,0,4,0,1,0,0,0,0,0,0,0,0,1,39,2,1,1
1,0,35,0,1,0,0,0,0,0,0,0,0,1,39,0,3,1
0,1,37,1,0,0,0,0,0,0,0,0,0,1,52.1101,1,1,1
1,0,46,1,0,0,0,0,0,0,0,0,0,1,52.1101,1,1,1
0,1,34,0,1,0,0,0,0,0,0,0,0,1,13,0,0,1
0,1,26,1,0,0,0,0,0,0,0,1,0,0,30,0,0,1
0,1,26,0,0,1,0,0,0,0,0,0,0,1,7.1506,0,0,0
1,0,19,0,1,0,0,0,0,0,0,0,0,1,13,0,0,1
0,1,22,0,0,1,0,0,0,0,0,0,0,1,9.07,0,0,0
0,1,23,0,1,0,0,0,0,0,0,0,0,1,13,0,0,0
1,0,39,1,0,0,0,0,0,0,0,1,0,0,63.0702,0,0,1
1,0,31,1,0,0,0,0,0,0,0,0,0,1,221.1507,0,0,1
0,1,25,1,0,0,0,0,0,0,0,1,0,0,91.0107,1,0,1
0,1,18,0,0,1,0,0,0,0,0,0,0,1,7.15,0,0,0
0,1,28,1,0,0,0,0,0,0,0,0,0,1,26.11,0,0,1
0,1,45,1,0,0,0,0,0,0,0,0,0,1,35.1,0,0,0
0,1,39,1,0,0,0,0,0,0,0,1,0,0,31,0,0,1
1,0,30,1,0,0,0,0,0,0,0,0,0,1,164.1704,0,0,1
1,0,61,1,0,0,0,0,0,0,0,0,0,1,26.11,0,0,1
0,1,25,0,1,0,0,0,0,0,0,0,0,1,13,0,0,0
1,0,40,0,0,1,0,0,0,0,0,0,1,0,7.15,0,2,0
0,1,42,0,0,1,0,0,0,0,0,0,1,0,15.1,1,1,0
1,0,32,0,0,1,0,0,0,0,0,0,1,0,15.1,1,1,0
0,1,26,0,0,1,0,0,0,0,0,0,0,1,16.02,0,0,0
1,0,22,1,0,0,0,0,0,0,0,0,0,1,55,0,1,1
0,1,30,0,1,0,0,0,0,0,0,0,0,1,13,0,0,0
1,0,22,0,0,1,0,0,0,0,0,0,1,0,7.1406,0,0,1
